Transaction_Id,Merchant_Id,Merchant_Name,Product_Category,Transaction_Fees,Transaction_Status,Product_Amount
4DAC3EA3,MERCH_0083,Airbnb,Rent Payment,36.69,Successful,1525.39
A903ED9F,MERCH_0163,Adani Gas,Gas Bill,28.19,Successful,1495.4
2A393013,MERCH_0320,MakeMyTrip Bus,Bus Ticket,11.36,Successful,1267.71
9A07AD19,MERCH_0194,Airtel Broadband,Internet Bill,6.41,Successful,9202.63
76418260,MERCH_0504,Axis Bank,Loan Repayment,41.15,Successful,3100.58
2EE6C8D8,MERCH_0476,Yatra,Flight Booking,44.55,Successful,8430.75
89DF83E5,MERCH_0441,Treebo,Hotel Booking,49.62,Successful,6688.17
1A8AB910,MERCH_0938,Adani Gas,Gas Bill,0.11,Successful,1802.28
48FC902D,MERCH_0156,Airtel Broadband,Internet Bill,2.66,Successful,4262.28
19C7D2D5,MERCH_0245,Max Life,Insurance Premium,45.7,Successful,2207.9
B7D8C70D,MERCH_0371,Flipkart,Online Shopping,36.06,Successful,3186.45
28895BA8,MERCH_0376,BSNL,Mobile Recharge,10.51,Successful,403.2
67709F94,MERCH_0130,Myntra,Online Shopping,13.69,Successful,9421.81
2B99EE3A,MERCH_0961,BSES,Electricity Bill,5.81,Successful,5297.09
08BD39D8,MERCH_0227,NoBroker,Rent Payment,43.42,Successful,3101.18
08DAAFC2,MERCH_0240,Indraprastha Gas,Gas Bill,7.56,Successful,1440.26
29E70ED2,MERCH_0201,Netflix,Streaming Service,47.58,Successful,2402.15
B44347B1,MERCH_0933,Flipkart Supermart,Grocery Shopping,14.82,Successful,3595.19
F0557048,MERCH_0407,Yatra,Flight Booking,43.57,Successful,9930.71
270DAF0A,MERCH_0655,Meru,Taxi Fare,3.26,Successful,307.81
333D21EC,MERCH_0685,Ola,Taxi Fare,35.05,Successful,8996.0
BB2A7FB0,MERCH_0885,Roblox,Gaming Credits,33.53,Successful,1558.03
D447AFD8,MERCH_0760,Delhi Jal Board,Water Bill,14.68,Successful,2699.87
F8C53632,MERCH_0330,MakeMyTrip Bus,Bus Ticket,15.24,Successful,2991.37
1314DD52,MERCH_0534,Nestaway,Rent Payment,0.84,Successful,5140.78
1DAB5C5F,MERCH_0709,Flipkart,Online Shopping,19.16,Successful,7076.38
8BC5BB94,MERCH_0153,Yatra,Flight Booking,8.75,Successful,2956.08
37BF717F,MERCH_0009,Axis Bank,Loan Repayment,37.41,Successful,6916.55
DBF8A78A,MERCH_0838,Ola,Taxi Fare,33.5,Successful,5642.55
CDFBD280,MERCH_0390,Mahanagar Gas,Gas Bill,48.71,Successful,9734.95
9B904EFA,MERCH_0043,MSEDCL,Electricity Bill,38.48,Successful,1916.58
077CFEC0,MERCH_0074,Jugnoo,Taxi Fare,23.48,Successful,2014.63
B7CA9F03,MERCH_0448,Hyderabad Water Board,Water Bill,43.54,Successful,1296.33
70F52836,MERCH_0203,Tata Power,Electricity Bill,44.37,Successful,9313.74
D050B5A1,MERCH_0785,RedBus,Bus Ticket,36.88,Successful,6734.22
D081075A,MERCH_0630,Jio Fiber,Internet Bill,38.5,Successful,1760.92
1D870C66,MERCH_0074,Max Life,Insurance Premium,35.92,Successful,5183.52
3361B17A,MERCH_0547,ACT Fibernet,Internet Bill,34.19,Successful,8721.2
A4FE9F29,MERCH_0251,Call of Duty Mobile,Gaming Credits,3.56,Successful,7975.27
2AE5A3BB,MERCH_0245,Carnival Cinemas,Movie Ticket,24.87,Successful,5741.96
BD51839F,MERCH_0073,ICICI Bank,Loan Repayment,35.06,Successful,2578.28
5C807C66,MERCH_0191,Max Life,Insurance Premium,23.46,Successful,3855.29
F4F1BF20,MERCH_0585,Airtel,Mobile Recharge,6.15,Successful,1446.76
6723EC06,MERCH_0212,Bharat Gas,Gas Bill,20.3,Successful,3090.15
0A446F41,MERCH_0336,Hyderabad Water Board,Water Bill,32.45,Successful,1203.62
BBC20141,MERCH_0078,Amazon Pantry,Grocery Shopping,6.61,Successful,372.6
64FB3179,MERCH_0901,INOX,Movie Ticket,33.05,Successful,7393.64
8DD4359A,MERCH_0125,Bangalore Water Supply,Water Bill,8.23,Successful,6326.46
569DCF7A,MERCH_0797,HDFC Bank,Loan Repayment,3.6,Successful,1044.85
09C210A8,MERCH_0319,Uber,Taxi Fare,9.82,Successful,408.34
17EA2A26,MERCH_0322,OYO Life,Rent Payment,47.7,Successful,8783.03
8C0D75FF,MERCH_0459,Idea,Mobile Recharge,30.42,Successful,9654.79
55C48F2A,MERCH_0441,Flipkart Supermart,Grocery Shopping,40.94,Successful,4910.93
